date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:30:04	53779/53779	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Nov%202024%2014:30:05%20GMT	https://satumomen.com/preview/biru-jawa	C:/Users/LENOVO/OneDrive/Desktop/server/erfjrmd.github.io/demo/demo2/demo/satumomen.com/preview/biru-jawa.html	(from )
21:30:04	83/83	---MCZ	200	added ('OK')	text/plain	etag:W/%2264739ad7-43%22	https://satumomen.com/robots.txt		(from )
21:30:18	71750/71750	---MCZ	200	added ('OK')	text/css	etag:W/%2264aaefd9-11846%22	https://satumomen.com/plugins/animate.css@4.1.1/animate.min.css	C:/Users/LENOVO/OneDrive/Desktop/server/erfjrmd.github.io/demo/demo2/demo/satumomen.com/plugins/animate.css@4.1.1/animate.min.css	(from https://satumomen.com/preview/biru-jawa)
21:30:18	144877/144877	---MCZ	200	added ('OK')	text/css	etag:W/%2264739ad8-235ed%22	https://satumomen.com/themes/bootstrap.min.css	C:/Users/LENOVO/OneDrive/Desktop/server/erfjrmd.github.io/demo/demo2/demo/satumomen.com/themes/bootstrap.min.css	(from https://satumomen.com/preview/biru-jawa)
21:30:19	70315/70315	---MCZ	200	added ('OK')	text/css	etag:W/%22112ab-HlXn7V2xggH/z1ceEbulvvURgjo%22	https://unpkg.com/@phosphor-icons/web@2.0.3/src/fill/style.css	C:/Users/LENOVO/OneDrive/Desktop/server/erfjrmd.github.io/demo/demo2/demo/unpkg.com/@phosphor-icons/web@2.0.3/src/fill/style.css	(from https://satumomen.com/preview/biru-jawa)
21:30:19	7238/7238	---MCZ	200	added ('OK')	text/css	etag:W/%2266514ee2-1c46%22	https://satumomen.com/themes/themesv2.css?v=080391	C:/Users/LENOVO/OneDrive/Desktop/server/erfjrmd.github.io/demo/demo2/demo/satumomen.com/themes/themesv27268.css	(from https://satumomen.com/preview/biru-jawa)
21:30:19	409/409	---MCZ	200	added ('OK')	text/css	etag:W/%2264739ad6-199%22	https://satumomen.com/fonts/brittany_signature/BrittanySignature.css	C:/Users/LENOVO/OneDrive/Desktop/server/erfjrmd.github.io/demo/demo2/demo/satumomen.com/fonts/brittany_signature/BrittanySignature.css	(from https://satumomen.com/preview/biru-jawa)
21:30:19	161/161	---MCZ	200	added ('OK')	text/css	etag:W/%226494fa0e-a1%22	https://satumomen.com/fonts/photograph_signature/fonts.css	C:/Users/LENOVO/OneDrive/Desktop/server/erfjrmd.github.io/demo/demo2/demo/satumomen.com/fonts/photograph_signature/fonts.css	(from https://satumomen.com/preview/biru-jawa)
21:30:19	371/371	---MCZ	200	added ('OK')	text/css	etag:W/%2264739ad6-173%22	https://satumomen.com/fonts/heatwood/Heatwood.css	C:/Users/LENOVO/OneDrive/Desktop/server/erfjrmd.github.io/demo/demo2/demo/satumomen.com/fonts/heatwood/Heatwood.css	(from https://satumomen.com/preview/biru-jawa)
21:30:21	44478/44478	---M--	200	added ('OK')	image/png	etag:%22ed12d110197aadad72c999c7907eecc1%22	https://assets.satumomen.com/assets/logo-bca-biru-1687975058.png	C:/Users/LENOVO/OneDrive/Desktop/server/erfjrmd.github.io/demo/demo2/demo/assets.satumomen.com/assets/logo-bca-biru-1687975058.png	(from https://satumomen.com/preview/biru-jawa)
21:30:21	26857/26857	---M--	200	added ('OK')	image/jpeg	etag:%2274a3c301619828b5f504be9a6b109fd9%22	https://assets.satumomen.com/assets/bni-1704123714.jpg	C:/Users/LENOVO/OneDrive/Desktop/server/erfjrmd.github.io/demo/demo2/demo/assets.satumomen.com/assets/bni-1704123714.jpg	(from https://satumomen.com/preview/biru-jawa)
21:30:23	72619/72619	---M--	200	added ('OK')	image/png	etag:%223cc89b21569c5d93f98c81f2855a31f4%22	https://assets.satumomen.com/images/invitation/cover-4155951731040301.png	C:/Users/LENOVO/OneDrive/Desktop/server/erfjrmd.github.io/demo/demo2/demo/assets.satumomen.com/images/invitation/cover-4155951731040301.png	(from https://satumomen.com/preview/biru-jawa)
21:30:23	4434/4434	---M--	200	added ('OK')	image/png	etag:%2264739ad7-126a%22	https://satumomen.com/images/btn_app_store.png	C:/Users/LENOVO/OneDrive/Desktop/server/erfjrmd.github.io/demo/demo2/demo/satumomen.com/images/btn_app_store.png	(from https://satumomen.com/preview/biru-jawa)
21:30:23	6204/6204	---M--	200	added ('OK')	image/png	etag:%2264739ad7-36cb%22	https://satumomen.com/images/btn_play_store.png	C:/Users/LENOVO/OneDrive/Desktop/server/erfjrmd.github.io/demo/demo2/demo/satumomen.com/images/btn_play_store.png	(from https://satumomen.com/preview/biru-jawa)
21:30:24	296863/296863	---MCZ	200	added ('OK')	application/javascript	etag:W/%226730bd4e-4879f%22	https://satumomen.com/js/theme-app.js?v=080391	C:/Users/LENOVO/OneDrive/Desktop/server/erfjrmd.github.io/demo/demo2/demo/satumomen.com/js/theme-app7268.js	(from https://satumomen.com/preview/biru-jawa)
21:30:25	9413/9413	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266d673d0-24c5%22	https://satumomen.com/themes/themesv2.js?v=080391	C:/Users/LENOVO/OneDrive/Desktop/server/erfjrmd.github.io/demo/demo2/demo/satumomen.com/themes/themesv27268.js	(from https://satumomen.com/preview/biru-jawa)
21:30:26	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%22673dd3d6-302c%22	https://satumomen.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/Users/LENOVO/OneDrive/Desktop/server/erfjrmd.github.io/demo/demo2/demo/satumomen.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://satumomen.com/preview/biru-jawa)
